Title,Price,Date
"Laptop ASUS Vivobook Pro 15 K3500PC-KJ428W 15,6 Intel® CoreTM i7-11370H - 16GB RAM - 1TB Dysk - RTX3050 Grafika - Win11",5 499 zł,2022-12-23
"Laptop Dell Inspiron 15 5515-8154 15,6 AMD Ryzen 5 5500U - 16GB RAM - 512GB Dysk - Win11",3 499 zł,2022-12-23
"Laptop Dell G15 5511-6204 15,6 120Hz Intel® CoreTM i5-11260H - 16GB RAM - 512GB Dysk - RTX3050 Grafika - Win11",4 699 zł,2022-12-23
"Laptop ASUS ROG Strix G17 G713QR-K4088W 17,3 165Hz AMD Ryzen 7 5800H - 16GB RAM - 512GB Dysk - RTX3070 Grafika - Win11",8 799 zł,2022-12-23
"Laptop Lenovo IdeaPad 3 15ADA05 15,6 AMD Ryzen 5 3500U - 8GB RAM - 256GB Dysk",1 999 zł,2022-12-23
"Laptop Acer Chromebook CB315-3H-C4BQ 15,6 Intel® CeleronTM N4020 4GB RAM - 128GB Dysk - ChromeOS",1 599 zł,2022-12-23
"Laptop HP 15s-fq2222nw 15,6 Intel® CoreTM i5-1135G7 - 8GB RAM - 512GB Dysk - Win11",2 299 zł,2022-12-23
Laptop ASUS ExpertBook B1 B1400CEAE-BV0402 14 Intel® CoreTM i3-1115G4 - 8GB RAM - 256GB Dysk,2 429 zł,2022-12-23
"Laptop Apple MacBook Pro M2 13,3 Apple M2 - 8GB RAM - 256GB Dysk - macOS (srebrny)",6 499 zł,2022-12-23
Laptop Acer Aspire 5 A514-54-57KA 14 Intel® CoreTM i5-1135G7 - 16GB RAM - 512GB Dysk - Win11,3 799 zł,2022-12-23
"Laptop Lenovo ThinkPad E15 Gen4 15,6 Intel® CoreTM i5-1235U - 16GB RAM - 512GB Dysk - Win11 Pro",5 869 zł,2022-12-23
"Laptop Lenovo Legion 5 15ACH6H 15,6 120Hz AMD Ryzen 7 5800H - 16GB RAM - 1TB SSD Dysk - RTX3060 Grafika - Win10",6 999 zł,2022-12-23
"Laptop Acer Chromebook 311 CB311-11H-K8T4 11,6 MediaTek MB8183 - 4GB RAM - 64GB Dysk - ChromeOS",1 349 zł,2022-12-23
"Laptop Lenovo IdeaPad 3 15ALC6 15,6 AMD Ryzen 5 5500U - 8GB RAM - 512GB Dysk - Win11",2 299 zł,2022-12-23
"Laptop Lenovo Legion 5 15ITH6H 15,6 165Hz Intel® CoreTM i5-11400H - 16GB RAM - 512GB Dysk - RTX3060 Grafika - Win11",6 399 zł,2022-12-23
