Sklep;Nazwa;Model;Cena;Data;Procesor;Pamięć RAM;System operacyjny;Przekątna;Rozdzielczość;Matryca
MediaMarkt;SAMSUNG;Tab A8 10.5 LTE 4GB 128GB Szary SM-X205NZAFEUE;1399;2023.06.24;Unisoc T618;4 GB;Android;"10.5""";1920 x 1200;PLS
MediaMarkt;TCL;10s 10.1 (2022) Wi-Fi 4GB 64GB Szary (Dark Gray);1199;2023.06.24;MediaTek MT8768E;4 GB;Android 11;"10.1""";1920 x 1200;IPS
MediaMarkt;LENOVO;M10 Plus FHD;899;2023.06.24;MediaTek Helio P22T;4 GB;Android 9.0 Pie;"10.3""";1920 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S8+;5899;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"12.4""";2800 x 1752;Super AMOLED
MediaMarkt;HUAWEI;10.4 (2022);1299;2023.06.24;Huawei HiSilicon Kirin 710A;4 GB;HarmonyOS 2;"10.4""";2000 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S7 FE 12.4;2699;2023.06.24;Qualcomm Snapdragon 750G;6 GB;Android;"12.4""";2560 x 1600;TFT/TN
MediaMarkt;SAMSUNG;Tab S8+;5369;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"12.4""";2800 x 1752;Super AMOLED
MediaMarkt;HUAWEI;;1499;2023.06.24;HiSilicon Kirin 820;4 GB;EMUI 10.1 (oparty na systemie Android 10);"10.4""";2000 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S8;3699;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"11""";2560 x 1600;LTPS
MediaMarkt;REALME;mini 8.7 (2022) Wi-Fi 4GB 64GB Niebieski;899;2023.06.24;Unisoc T616;4 GB;Android 11;;;
MediaMarkt;SAMSUNG;Tab S8 Ultra;7129;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;12 GB;Android;"14.6""";2960 x 1848;Super AMOLED
MediaMarkt;SAMSUNG;Tab S8+;5999;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;8 GB;Android;"12.4""";2800 x 1752;Super AMOLED
MediaMarkt;TCL;10 10.1 (2022) WiFi 4GB 64 GB Szary;799;2023.06.24;MediaTek MT8768E;4 GB;Android 11;"10.1""";1280 x 800;IPS
MediaMarkt;HUAWEI;10.4 (2020);1599;2023.06.24;Huawei HiSilicon Kirin 810;4 GB;Android 10;"10.4""";2000 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S7 FE 12.4;2699;2023.06.24;Qualcomm Snapdragon 750G;6 GB;Android;"12.4""";2560 x 1600;TFT/TN
MediaMarkt;SAMSUNG;Tab S8 Ultra;8599;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;16 GB;Android;"14.6""";2960 x 1848;Super AMOLED
MediaMarkt;HUAWEI;SE (2023);1199;2023.06.24;Qualcomm SM6225;4 GB;HarmonyOS 3.0;"10.36""";2000 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S8 Ultra;6899;2023.06.24;Qualcomm Snapdragon 8 Gen 1 SM8450;12 GB;Android;"14.6""";2960 x 1848;Super AMOLED
MediaMarkt;HUAWEI;SE (2023);1199;2023.06.24;Qualcomm SM6225;4 GB;HarmonyOS 3.0;"10.36""";2000 x 1200;IPS
MediaMarkt;TCL;10s 10.1 (2022) Wi-Fi 4GB 64GB Zielony (Ethereal Sky);1199;2023.06.24;MediaTek MT8768E;4 GB;Android 11;"10.1""";1920 x 1200;IPS
MediaMarkt;APPLE;mini 8.3 (2021) 256GB Wi-Fi Księżycowa;3859;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;Air 10.9 (5 gen.) 64GB Wi-Fi Księżycowa;3499;2023.06.24;Apple M1;8 GB;iPadOS 15;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;mini 8.3 (2021) 256GB Wi-Fi Gwiezdna;3859;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;mini 8.3 (6 gen.) 256GB Wi-Fi+Cellular Księżycowa;4779;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
